bulb_number,timestamp,power_consumption (Watts),voltage_levels (Volts),current_fluctuations (Amperes),temperature (Celsius),environmental_conditions,current_fluctuations_env (Amperes),fault_type
44,2023-03-05 12:06:17,189.26,228.66,3.96,19.42,Clear,8.636947178614479,4
44,2023-07-29 08:23:48,80.04806074421919,231.6,0.74,22.7,Clear,1.61,3
44,2023-06-22 14:47:18,103.95,223.35,4.9,14.31,Cloudy,2.82,0
44,2023-03-16 21:10:05,179.56,231.74425161399196,0.08,27.93,Clear,3.1,2
44,2023-04-27 10:12:38,91.45,233.99,3.21,24.65,Cloudy,2.89,0
44,2023-04-14 22:43:48,168.51,234.63,1.93,28.02,Clear,2.53,0
44,2023-08-08 05:23:04,74.02,216.55,3.67,17.55,Cloudy,1.31,0
44,2023-05-03 13:21:43,140.72,233.47,0.55,18.98,Rainy,3.86,0
44,2023-10-23 01:23:35,185.54,210.41,3.28,21.95,Rainy,2.59,0
44,2023-09-03 19:56:25,74.03,232.25,1.96,14.69,Cloudy,4.25,0
44,2023-08-03 17:03:52,96.05,215.95,4.106210403501491,13.62,Rainy,3.89,1
44,2023-12-29 00:38:42,157.5,214.88,1.13,16.85,Rainy,4.75,0
44,2023-10-25 20:10:28,187.07,212.55,1.68,16.93,Cloudy,1.06,0
44,2023-09-16 04:41:43,115.34,232.44,0.5,23.43,Clear,1.3,0
44,2023-06-24 22:39:20,146.37,230.46,3.64,27.23,Clear,4.5,0
44,2023-06-10 19:01:42,163.87,224.43,0.22,28.74,Rainy,3.01,0
44,2023-09-09 07:00:22,130.19,235.17580029889552,3.42,29.89,Cloudy,1.65,2
44,2023-12-14 20:31:17,82.89168047325907,224.63,1.07,20.26,Clear,2.3,3
44,2023-12-19 14:04:00,107.27,211.88,2.25,29.6,Clear,1.46,0
44,2023-12-31 03:59:15,127.35,230.9240896027916,0.77,17.11,Cloudy,2.45,2
44,2023-06-25 21:37:25,118.5,210.73,1.35,10.5,Clear,4.59,0
44,2023-07-05 04:40:33,54.36,211.49,1.49,22.65,Cloudy,1.79,0
44,2023-04-17 08:49:42,59.23,235.09,3.5,17.93,Cloudy,3.38,0
44,2023-05-25 23:16:11,91.19,225.84,4.4,12.15,Cloudy,4.23,0
44,2023-12-21 02:49:17,168.28,238.47,2.57,15.5,Clear,1.77,0
44,2023-11-10 00:39:04,145.97,214.22,1.76,24.53,Cloudy,2.87,0
44,2023-09-24 12:45:02,59.41,224.91,2.62,24.02,Cloudy,0.05,0
44,2023-02-05 19:46:55,114.26,236.6,0.13,23.45,Rainy,1.12,0
44,2023-10-06 05:08:51,108.12,236.52,1.81,20.91,Clear,3.4241166874569258,4
44,2023-10-26 12:48:36,71.25,226.85,4.759823163178284,15.29,Rainy,5.0,1
44,2023-09-12 00:09:23,173.82,211.07,4.23,19.54,Cloudy,4.14,0
44,2023-05-27 23:47:00,162.08,227.18,1.86,23.31,Rainy,4.16,0
44,2023-05-24 17:58:25,125.5,222.45,0.71,27.92,Cloudy,1.34,0
44,2023-11-25 13:13:15,68.53,211.99,3.75,23.5,Cloudy,0.6,0
44,2023-06-27 20:41:49,129.52,214.58,1.92,25.66,Clear,1.14,0
44,2023-08-17 08:05:11,54.16,215.8,2.0,14.83,Rainy,3.61,0
44,2023-04-27 20:13:24,168.38,217.22,1.34,21.2,Clear,3.76,0
44,2023-05-12 02:18:33,193.91,219.02,4.56,13.64,Clear,0.21,0
44,2023-05-06 23:52:06,168.87,224.36,3.2989752517528554,11.42,Clear,0.07,1
44,2023-10-10 03:52:03,160.3,229.96,5.0,21.88,Rainy,5.48550133561672,4
44,2023-11-01 06:00:53,153.95,221.22,1.23,14.44,Cloudy,4.78,0
44,2023-06-15 12:42:22,83.10513481997,224.6,4.18,29.28,Clear,0.02,3
44,2023-07-08 10:40:20,61.32,235.11,8.75704168773515,21.22,Rainy,2.76,1
44,2023-02-07 22:25:17,102.92,214.97,0.33,27.62,Cloudy,2.74,0
44,2023-05-10 20:58:23,154.11,219.96,4.04,17.0,Clear,0.15,0
44,2023-12-15 12:00:22,100.54,235.51,4.38,28.69,Clear,7.3697797475614255,4
44,2023-01-05 22:18:15,124.88,214.62,2.51,27.37,Clear,7.232159520675763,4
44,2023-04-26 02:04:07,81.88,227.43,4.66,13.55,Clear,4.14,0
44,2023-01-01 00:39:05,72.1,237.59,3.47,12.18,Cloudy,1.01,0
44,2023-01-28 07:15:38,189.04,225.23,2.27,11.17,Rainy,0.42,0
44,2023-06-12 06:44:46,153.75,233.31,4.34,20.06,Clear,1.64,0
44,2023-01-25 05:42:24,143.83,228.57,0.17,28.78,Rainy,3.21,0
44,2023-05-27 17:38:40,50.97,238.79,4.76,28.92,Clear,4.44,0
44,2023-01-22 19:31:02,60.07825454109005,239.32,3.81,22.82,Cloudy,4.71,3
44,2023-06-17 16:57:14,170.81159797347243,228.17,2.9,22.92,Clear,3.77,3
44,2023-03-27 12:54:49,197.09,212.66,4.57,23.15,Cloudy,4.55,0
44,2023-06-28 12:09:16,105.31,234.87,3.08,26.62,Clear,1.63,0
44,2023-01-23 18:13:41,173.59631199229486,237.73,2.37,18.01,Clear,2.88,3
44,2023-11-23 03:59:53,124.43,236.9,1.83,24.72,Rainy,3.12,0
44,2023-09-22 11:51:16,89.21,225.95,4.26,21.1,Cloudy,3.48,0
45,2023-06-17 06:48:13,166.31,211.48,0.26,12.3,Rainy,5.25432794071628,4
45,2023-04-21 17:16:29,115.34,215.56,2.66,25.27,Cloudy,0.7,0
45,2023-08-09 11:28:59,101.66,215.83,3.23,12.74,Rainy,3.91,0
45,2023-01-19 21:49:39,81.17,211.76,4.55,16.66,Rainy,2.51,0
45,2023-08-28 04:29:20,65.15,224.38,1.11,26.81,Cloudy,3.57,0
45,2023-12-02 03:43:09,138.14431116709886,233.44,1.47,19.07,Cloudy,0.43,3
45,2023-07-18 13:23:55,99.36,234.68,6.316508476127746,18.49,Rainy,4.83,1
45,2023-07-10 07:57:03,120.33,239.78,0.66,15.11,Rainy,2.27,0
