bulb_number,timestamp,power_consumption (Watts),voltage_levels (Volts),current_fluctuations (Amperes),temperature (Celsius),environmental_conditions,current_fluctuations_env (Amperes),fault_type
88,2023-08-24 08:53:02,130.31,212.54,3.56,11.9,Clear,0.55,0
88,2023-12-14 10:48:52,101.6,232.67,1.25,28.39,Cloudy,2.12,0
88,2023-05-21 18:06:38,162.11,215.72,1.64,18.33,Clear,1.06,0
88,2023-12-01 22:59:39,176.44965303748853,236.7,2.02,29.29,Cloudy,0.53,3
88,2023-01-16 01:54:36,169.98,216.46,3.82,24.57,Clear,4.6,0
88,2023-09-23 19:10:54,85.48,238.73,0.45,26.75,Rainy,2.0,0
88,2023-12-20 05:18:42,54.87,221.4,4.25,21.65,Cloudy,0.02,0
88,2023-09-13 16:48:35,144.7,212.95,2.21,13.04,Rainy,3.27,0
88,2023-07-29 00:06:38,192.32,210.7,0.36,25.51,Clear,0.5,0
88,2023-01-15 12:30:47,185.8,235.8,5.0,14.3,Cloudy,3.83,0
88,2023-11-23 19:38:50,150.04,233.1402344953713,1.9,25.0,Cloudy,1.82,2
88,2023-05-13 07:29:19,134.28,236.46,0.21,14.94,Rainy,0.64,0
88,2023-10-03 03:17:37,83.83,212.86,4.34,13.91,Rainy,1.1,0
88,2023-02-27 08:58:00,135.67,231.02,4.07,26.92,Cloudy,0.54,0
88,2023-03-22 00:09:04,84.76,213.31,4.09,19.68,Cloudy,3.54,0
88,2023-05-11 02:31:47,129.23,215.83,0.91,11.65,Cloudy,2.57,0
88,2023-06-13 14:39:48,63.26,220.54,2.83,26.14,Cloudy,4.7,0
88,2023-03-16 08:47:08,86.16,220.61,1.4,11.31,Cloudy,2.89,0
88,2023-12-13 10:10:01,164.81,236.48,2.42,14.11,Cloudy,4.13,0
88,2023-01-23 09:07:46,156.95,232.84,0.52,19.4,Rainy,0.06,0
88,2023-07-10 14:02:55,190.39,224.56,0.62,22.12,Clear,4.05,0
88,2023-03-21 18:44:27,79.24,230.61,0.59,23.13,Rainy,3.5,0
88,2023-09-17 14:34:19,140.41,237.81,2.28,19.71,Clear,0.7,0
88,2023-11-27 21:35:22,111.34,233.0,0.08,15.13,Clear,1.73,0
88,2023-02-05 18:22:14,199.61,239.7,4.622655194491819,23.53,Rainy,1.98,1
88,2023-01-13 11:06:00,104.49,212.78,0.61,13.87,Clear,8.75298017006061,4
88,2023-07-18 21:27:19,161.57,215.92,3.91,19.8,Rainy,4.31,0
88,2023-05-21 14:31:29,76.39236525427731,215.8,4.86,25.68,Clear,4.91,3
88,2023-05-13 00:54:39,133.43169870744407,221.53,3.09,21.86,Cloudy,0.57,3
88,2023-04-07 02:50:01,157.71,211.8,3.92,13.0,Rainy,4.996505684320052,4
88,2023-10-01 08:36:40,131.56,211.53,0.09,21.57,Rainy,1.07,0
88,2023-03-11 06:04:44,135.45,230.05,2.5,12.06,Clear,3.76,0
88,2023-10-31 12:50:09,85.30175476791251,231.78,3.14,16.44,Clear,4.75,3
88,2023-11-30 13:43:24,79.29,217.02,1.28,26.54,Cloudy,3.42,0
88,2023-11-29 11:34:53,64.87,224.29,3.42,20.32,Rainy,0.9,0
88,2023-02-24 08:34:46,71.48,239.41,1.15,10.82,Cloudy,2.14,0
88,2023-04-11 08:26:22,177.39,230.02,1.13,18.19,Clear,2.97,0
88,2023-02-13 06:28:23,128.7993678644979,229.99,3.47,11.38,Clear,0.6,3
88,2023-10-25 18:03:28,89.17,220.76,3.69,23.56,Rainy,4.84,0
88,2023-05-07 15:33:12,131.47,219.79,3.29,20.61,Clear,1.75,0
88,2023-07-27 12:11:05,70.27,214.08,1.63,18.21,Rainy,4.59,0
88,2023-02-22 07:21:06,112.84,222.9,2.77,18.93,Rainy,2.01,0
88,2023-12-16 03:03:40,173.7,228.53,3.09,17.44,Rainy,2.03,0
88,2023-07-18 02:57:46,136.36,210.88,7.0920917978824,10.05,Clear,4.87,1
88,2023-07-25 07:36:28,115.95,222.48,3.95,25.33,Cloudy,1.74,0
88,2023-08-24 20:15:49,140.8,237.15,4.74,28.4,Clear,0.42,0
88,2023-07-13 09:48:00,147.11,217.1,2.89,10.69,Rainy,4.33,0
88,2023-02-28 16:55:57,143.15814736822446,218.15,2.95,29.38,Cloudy,4.77,3
88,2023-06-18 02:00:38,86.01,228.21,2.39,23.15,Rainy,4.45,0
88,2023-10-15 23:19:55,158.21,210.4,2.07,11.79,Clear,0.3,0
88,2023-07-25 06:36:53,78.38,236.56,4.08,20.96,Cloudy,4.18,0
88,2023-12-07 13:26:27,185.05,212.59,4.52,10.44,Clear,7.938740702328826,4
88,2023-12-25 14:41:33,40.004466822552565,220.87,0.51,20.39,Clear,2.04,3
88,2023-10-18 10:35:38,170.75,226.92,3.84,17.3,Cloudy,2.46,0
88,2023-08-19 02:45:25,86.64,210.17,4.75,27.63,Cloudy,0.39,0
88,2023-08-11 12:57:48,79.22,231.5,1.35,23.56,Cloudy,1.39,0
88,2023-10-16 22:45:47,85.31,230.7234656567176,0.79,27.15,Clear,4.55,2
88,2023-07-07 13:53:34,160.77,237.85,2.86,12.04,Clear,4.96,0
88,2023-01-01 01:09:26,150.04,237.69,0.95,29.27,Clear,4.64,0
88,2023-06-20 05:02:26,60.47,211.7,0.81,13.76,Cloudy,1.48,0
88,2023-09-08 19:24:41,168.02,213.59,0.35,21.04,Clear,2.75,0
88,2023-01-06 19:09:24,143.31,232.82,0.45,21.69,Rainy,2.42,0
88,2023-02-13 05:40:04,104.81,212.83,2.65,10.69,Rainy,4.86,0
88,2023-07-09 08:52:34,182.55,236.9,1.47,13.45,Clear,0.48,0
88,2023-04-25 12:01:43,93.16418244206372,211.28,3.8,20.06,Cloudy,3.54,3
88,2023-08-17 18:07:27,126.72,232.22,4.71,10.17,Rainy,5.911339037100033,4
88,2023-10-10 17:51:51,155.15,227.03,2.73,18.02,Cloudy,2.99,0
88,2023-11-30 05:17:09,144.23,220.97,1.91,14.59,Clear,6.396759402004744,4
88,2023-11-19 07:44:21,119.13,228.35,3.25,18.01,Cloudy,3.98,0
88,2023-12-29 03:54:41,39.24701284133971,222.01,2.99,12.99,Cloudy,1.13,3
88,2023-07-27 16:37:02,130.66,216.33,2.09,25.94,Cloudy,2.73,0
88,2023-11-09 12:30:17,167.02,217.93,0.46,15.88,Cloudy,0.36,0
88,2023-11-16 00:55:20,100.73,228.74,1.59,13.65,Clear,0.34,0
88,2023-07-12 03:38:55,83.91530509263433,239.0,3.28,26.0,Clear,3.24,3
88,2023-01-25 10:35:35,137.29,226.95,2.66,17.7,Clear,7.513528799301744,4
