bulb_number,timestamp,power_consumption (Watts),voltage_levels (Volts),current_fluctuations (Amperes),temperature (Celsius),environmental_conditions,current_fluctuations_env (Amperes),fault_type
66,2023-10-02 08:50:46,52.92,232.74,0.7,24.87,Cloudy,0.36,0
66,2023-04-20 23:38:00,94.26,230.48,0.97,25.69,Cloudy,0.44,0
66,2023-05-13 15:01:45,174.27,227.1,0.09,15.08,Rainy,2.41,0
66,2023-04-27 22:35:19,146.4,230.21,4.47,18.76,Rainy,0.06,0
66,2023-09-21 00:00:56,90.02,212.79,4.19,13.0,Clear,1.79,0
66,2023-02-26 12:56:04,51.87934589097435,225.5,0.98,25.28,Clear,2.46,3
66,2023-07-19 07:37:53,192.68,219.64,1.9,21.84,Clear,1.71,0
66,2023-04-05 16:37:33,174.34,226.4,0.01,16.44,Clear,6.841573476761495,4
66,2023-03-29 12:08:59,161.09,230.1,4.17,14.28,Clear,2.3,0
66,2023-11-14 17:43:30,131.1,239.21,9.542576862817306,19.95,Rainy,0.71,1
66,2023-06-12 03:20:55,54.01,223.56,2.49,12.94,Rainy,1.86,0
66,2023-07-18 00:26:58,140.5041958886659,230.96,3.89,21.47,Clear,1.47,3
66,2023-10-04 13:57:43,140.9,226.89,3.17,28.61,Clear,1.19,0
66,2023-01-20 09:34:02,155.98,216.01,3.93,10.61,Rainy,1.34,0
66,2023-03-01 07:45:06,88.68,235.46,2.74,18.27,Clear,1.22,0
66,2023-06-05 09:09:49,98.42,231.64,4.25,11.84,Cloudy,0.07,0
66,2023-07-23 08:15:29,132.36,235.13,0.11,21.57,Clear,4.07,0
66,2023-04-11 06:47:00,67.01,237.50793716806385,0.5,10.77,Cloudy,2.47,2
66,2023-05-20 02:16:07,188.37,219.26,1.3,22.46,Cloudy,4.74,0
66,2023-08-28 06:31:48,77.86,231.37400568205575,4.22,12.68,Clear,2.18,2
66,2023-10-18 01:30:47,106.29,229.48,3.96,20.8,Cloudy,1.0,0
66,2023-10-29 11:15:28,83.79,239.51,4.06,16.39,Rainy,0.89,0
66,2023-01-14 11:45:16,92.17,234.63,2.98,23.81,Cloudy,3.28,0
66,2023-04-26 05:02:53,178.21,239.64,3.15,22.09,Rainy,0.56,0
66,2023-09-05 04:11:05,188.23,211.88,3.39,24.86,Rainy,1.66,0
66,2023-12-05 01:01:35,65.53,222.75,1.2,21.88,Rainy,0.17,0
66,2023-08-07 18:18:41,57.22,227.18,0.69,17.19,Rainy,4.37,0
66,2023-02-24 09:56:42,53.71,214.49,8.189783964420187,17.6,Rainy,1.83,1
66,2023-05-05 08:15:09,115.93,233.23,1.41,13.02,Rainy,6.182167809823694,4
66,2023-03-12 21:44:30,103.93,221.33,4.55,25.87,Clear,4.329363636329266,4
66,2023-11-10 02:18:28,162.99,225.56,4.67,24.23,Cloudy,0.7,0
66,2023-08-10 11:49:23,109.92,235.71,2.01,20.19,Cloudy,4.08,0
66,2023-08-15 16:11:33,53.01,212.33,1.33,25.32,Cloudy,1.38,0
66,2023-12-20 03:02:32,84.42348716829572,220.32,4.0,22.13,Clear,1.09,3
66,2023-02-24 14:56:53,51.64,222.54,3.98,19.2,Rainy,1.41,0
66,2023-05-11 02:55:58,187.79,230.04,2.71,28.55,Rainy,4.55,0
66,2023-06-28 06:38:30,79.03492280528157,220.48,1.47,15.67,Cloudy,0.72,3
66,2023-12-19 06:01:18,94.97,223.45,2.38,23.4,Rainy,4.13,0
66,2023-06-09 08:35:21,195.35,223.18,4.27,20.66,Clear,8.950572297260258,4
66,2023-08-27 21:24:15,152.87,222.53,1.52,26.14,Cloudy,2.9,0
66,2023-05-13 11:05:59,61.72,223.05,0.73,10.55,Clear,4.96,0
66,2023-11-04 05:02:55,131.35,234.37,2.25,22.7,Cloudy,4.95,0
66,2023-07-26 09:34:00,148.18,214.88,3.93,28.59,Rainy,1.61,0
66,2023-10-03 19:10:26,83.54,231.6225001122548,0.83,14.23,Cloudy,3.44,2
66,2023-08-01 04:10:44,182.93,220.76,4.59,12.66,Rainy,0.17,0
66,2023-07-16 14:30:47,167.44,233.03,3.49,18.43,Rainy,1.0,0
66,2023-01-06 04:51:00,84.54,234.03,4.71,29.03,Rainy,1.87,0
66,2023-10-07 13:17:50,147.81,219.24,4.27,21.85,Rainy,4.3,0
66,2023-05-16 01:10:11,146.41725500924107,217.39,0.15,29.66,Clear,2.27,3
66,2023-12-20 08:58:21,171.76,215.14,2.54,18.38,Rainy,0.63,0
66,2023-12-07 00:11:53,151.28,236.49,4.64,21.12,Cloudy,0.07,0
66,2023-04-06 00:07:39,107.98,226.49,4.84,18.88,Clear,1.76,0
66,2023-06-18 13:47:19,188.44,223.25,4.78,16.36,Cloudy,3.73,0
66,2023-12-15 17:10:16,176.52,236.61,1.49,29.68,Cloudy,3.71,0
66,2023-12-13 00:24:25,72.71,232.79,4.17,13.64,Rainy,0.85,0
66,2023-03-28 10:39:42,69.64,224.88,6.659063120300762,17.58,Rainy,0.29,1
66,2023-11-15 15:15:00,155.29,212.93,2.78,22.08,Rainy,3.25,0
66,2023-03-20 15:31:31,101.88,237.82,4.97,26.74,Cloudy,0.55,0
66,2023-12-05 18:53:11,90.19,229.80199943412848,0.26,27.92,Cloudy,0.94,2
66,2023-04-25 16:34:30,106.25,233.32,2.24,17.42,Clear,1.33,0
66,2023-12-14 19:28:37,129.04,213.43,3.09,26.47,Rainy,4.64,0
66,2023-10-21 21:29:15,144.7,234.66,1.13,20.28,Cloudy,1.42,0
66,2023-08-09 04:20:18,199.97,221.27,1.12,25.44,Cloudy,2.3,0
66,2023-04-13 18:35:43,69.05,233.65,2.41,25.78,Cloudy,3.76,0
66,2023-12-20 01:49:56,135.54,231.6,4.28,18.98,Cloudy,4.78,0
66,2023-05-13 02:56:45,77.29,239.09,1.17,20.14,Rainy,2.35,0
66,2023-02-26 12:33:15,59.05,215.73,4.15,15.52,Rainy,0.03,0
